imdb_title_id	title	original_title	year	date_published	genre	duration	country	language	director	writer	production_company	actors	description	avg_vote	votes	budget	usa_gross_income	worlwide_gross_income	metascore	reviews_from_users	reviews_from_critics
tt9809140	Todas las pecas del mundo	Todas las pecas del mundo	2019	2019-09-27	Comedy, Romance, Sport	91	Mexico	Spanish	Yibran Asuad	Yibran Asuad, Javier Peñalosa	Panorama Global	Hanssel Casillas, Daniel Haddad, Anajosé Aldrete Echevarria, Mauricio Arvizu, Andrea Sutton, Marcelo Barceló, Savitri Alpizar, Montserrat Marañon, Axel Contreras, Emiliano Castro, Daniel Vidal, Alejandro Flores, Luis de La Rosa, Enzo Fusaro, Francesca Fusaro	"""All the Freckles in the World"" story of a boy in his early teens trying to get attention of the school's pretty girl. Set in 90's Mexico City"	5.2	976			$ 426801		19.0	7.0
tt9810090	Kyô mo iyagarase bentô	Kyô mo iyagarase bentô	2019	2019-06-28	Comedy, Drama, Family	106	Japan	Japanese	Renpei Tsukamoto	Renpei Tsukamoto	Django Film	Ryôko Shinohara, Kyôko Yoshine, Rena Matsui, Kanta Satô, Ryûta Satô, Tomoko Murakami, Yoshinori Okada, Reina Usui, Kasumi Yamaya	Wishing to open up another line of communication with her rebellious teenage daughter, in the name of light-hearted revenge, single mother Kaori begins creating embarrassingly sweet messages in her child's lunchbox meals. Will it work?	6.7	249					4.0	3.0
tt9810420	A Second Chance: Rivals!	A Second Chance: Rivals!	2019	2020-02-05	Drama, Family, Sport	89	Australia	English	Clay Glen	Clay Glen	Glenpictures	Emily Morris, Stella Shute, Adam Tuominen, Carmel Johnson, Nina Pearce, Natasha Wanganeen, Eva Grados, India Colombi, Alexander Lloyd, Elysia Markou, Larrissa Miller, Sally Pearson	It's city girls vs country girls in the most competitive gymnastics showdown ever. Get ready to tumble in A SECOND CHANCE: RIVALS!..	4.7	103					8.0	1.0
tt9811374	Inséparables	Inséparables	2019	2019-09-04	Comedy	94	France	French, Russian	Varante Soudjian	Thomas Pone, Thomas Pone	CCJ Films	Ahmed Sylla, Alban Ivanov, Judith El Zein, Ornella Fleury, Amir El Kacem, Christian Bujeau, David Salles, Jean-Philippe Ricci, Pierre-Marie Mosconi, Laurence Yayel, Adrien Robineau, Christian Mulot, Marie Berto, Mohamed Thiam, Neva Kehouane	A fan of the Russian president is in a cell with the character played by Ahmed Sylla.	5.7	445			$ 61905		3.0	1.0
tt9811598	Chaos	Chaos	2019	2019-02-16	Drama, Fantasy	126	Russia, Ukraine, Austria, Tunisia	English, Russian	Sergey A.	Sergey A.	Terra Studio	Sergey A., Nikolay Yeriomin	In our world there is no stability. Our film is one continuous chaos that cannot be controlled.	8.3	121	RUR 50					1.0
tt9812258	G-Loc	G-Loc	2020	2020-08-11	Sci-Fi	92	UK	English	Tom Paton	Tom Paton	Goldfinch	Stephen Moyer, Tala Gouveia, Casper Van Dien, Emily Haigh, Toby Osmond, Shayne Ward, Alana Wallace, Mike Beckingham, John Rhys-Davies, Spencer Collings	Bran flees the cold, uninhabitable Earth. He hopes to get to Rhea, colonized by humans 582 years ago. Rheans are against new arrivals from Earth. He boards a Rhean spaceship with a cute, feisty Rhean.	5.5	1012					18.0	5.0
tt9812614	Håp	Håp	2019	2019-11-22	Drama, Romance	126	Norway, Sweden	Norwegian, Swedish	Maria Sødahl		Motlys	Andrea Bræin Hovig, Stellan Skarsgård, Terje Auli, Ingrid Bugge, Hala Dakhil, Dina Enoksen Elvehaug, Uma Feed, Eirik Hallert, Steinar Klouman Hallert, Kristin Voss Hestvold, Johannes Joner, Gjertrud L. Jynge, Thomas Tetens Moe, Alexander Mørk Eidem, Elli Rhiannon Müller Osbourne	The relationship between artist-partners Tomas and Anja is put to the test after Anja gets a life-threatening diagnosis.	7.5	321			$ 563170		1.0	16.0
tt9815084	A Very British Christmas	A Very British Christmas	2019	2019-11-23	Family	90	UK	English	Steven Nesbit	Steven Nesbit, Karl Hall	Studio KS1	Rachel Shenton, Mark Killeen, Isla Cook, Michele Dotrice, Jennifer Bryer, Steve Evets, Adam Fogerty, Tony Fillingham, Luke Vaughan, Kab Silva, Beth Moore, Brenda Kellett, Sally Marwood, Jennifer Nesbitt, Paul Barber	Opera singer Jessica's flight to her concert in Vienna gets delayed and she is stuck in a remote area of England. The only place to stay is a bed-and-breakfast in an enchanting village run by a handsome widower named Andrew.	6.1	203					26.0	
tt9815714	The Hard Way	The Hard Way	2019	2019-03-05	Action	92	USA	English	Keoni Waxman	Thomas J. Churchill, Keoni Waxman	Actionhouse Pictures	Michael Jai White, Luke Goss, Randy Couture, Madalina Anea, Grant Campbell, George Remes, Ovidiu Niculescu, Andreea Diac, Michaela Holla, Bogdan Farcas, Daniel Onuoha, Dan Cade, Cosmin Dominte, Elias Ferkin, Adina Stetcu	After learning his brother died on a mission in Romania, a former soldier teams up with two allies to hunt down a mysterious enemy and exact revenge.	4.8	2357	$ 3000000				50.0	14.0
tt9815998	Terapia di letto	Hooking Up	2020	2020-03-20	Comedy, Drama	104	USA	English	Nico Raineau	Nico Raineau, Lauren Schacher	Yale Productions	Brittany Snow, Sam Richardson, Anna Akana, Amy Pietz, Jordana Brewster, Vivica A. Fox, Shaun J. Brown, Alexis G. Zall, Brianna Adams, Michael Benefield, Paul Blain, Jason Bremer, Prestin T. Brown, Simply Phillip Brown, Latrice Butts	After he receives a new cancer diagnosis and she is fired from her job as a sex columnist, Bailey and Darla take a road trip that forces them to get intimate with their issues, as well as each other.	5.2	807				44.0	11.0	13.0
tt9816396	Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~	Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~	2019	2019-09-06	Comedy, Drama, Romance	113	Japan	Japanese	Hayato Kawai	Aka Akasaka, Yûichi Tokunaga	Chubu-nippon Broadcasting Company (CBC)	Shô Hirano, Kanna Hashimoto, Hayato Sano, Natsumi Ikema, Nana Asakawa, Mayu Hotta, Yutaro Goto, Amu Fukao, Angelo Minoru Kawajiri, Aoi Koga, Jirô Satô, Masahiro Takashima	A high school girl and boy are part of the student council at a pricey school. They have a crush on one another, but have kept it under wraps so far. With awareness and an inkling of what ...	5.7	123					4.0	
tt9816970	Majaray Nimrooz: Radde Khoon	Majaray Nimrooz: Radde Khoon	2019	2019-09-25	Action, Drama, History	130	Iran	Persian, Arabic, Kurdish	Mohammad Hossein Mahdavian	Ebrahim Amini, Hosein Torabnejad	Farabi Cinema Foundation	Javad Ezati, Hadi Hejazifar, Behnoosh Tabatabaei, Mohsen Kiayee, Hasti Mahdavifar, Mahdi Zaminpardaz, Hosein Mehri, Mohammad Asgari, Amir Ahmad Ghazvini, Amir Hossein Hashemi, Hossein Fallah, Vahid Sheykhlar, Niloufar Shahfari	Before the war between Iran and Iraq ends the Iranians find that Mojahedin's members are spying on them and are about to do an operation against Iran. They send two special agents to ...	6.4	582					3.0	41.0
tt9816988	Talla	Talla	2019	2020-04-29	Drama	83	Iran	Persian	Parviz Shahbazi	Parviz Shahbazi		Negar Javaherian, Houman Seyyedi, Tannaz Tabatabaei, Mehrdad Sedighian, Hoda Zeinolabedin, Ehteram Boroumand, Hamoun Seyyedi, Helsa Zolfi, Ehsan Amani, Abolhasan Moravvej, Bijan Afshar, Fatemeh Mortazi	Few youngsters decide to with the help of each other start a restaurant business. But meanwhile the father of one of them dies and a big sum of money is disappear too which begin their troubles.	5.2	311					3.0	15.0
tt9817018	Shabi Ke Mah Kamel Shod	Shabi Ke Mah Kamel Shod	2019	2019-06-05	Crime, Drama, Romance	131	Iran	Persian, Urdu	Narges Abyar	Narges Abyar, Morteza Esfahani	Haft Honar Mandegar	Elnaz Shakerdust, Hootan Shakiba, Fereshteh Sadre Orafaiy, Pedram Sharifi, Shabnam Moghadami, Farid Sajjadi Hosseini, Armin Rahimian, Amin Miri, Banipal Shoomoon, Sana Patkareh, Mandana Moezipour, Mahta Mohaddes, Sadra Abyar, Esmaeil Moradi, Mohsen Noori	In the market Abdolhamid meets Faezeh and falls in love with her. They get marry and begin their life. But after a while Faezeh becomes aware of Abdolhamid's family in Sistan and ...	6.7	1442					15.0	43.0
tt9817044	Ghasam	Ghasam	2019	2019-07-31	Drama	84	Iran	Persian	Mohsen Tanabandeh	Mohsen Tanabandeh		Mahnaz Afshar, Saeed Aghakhani, Hassan Pourshirazi, Mehran Ahmadi, Giti Moeeni, Hossein Maleki, Mojtaba Tabatabaei, Azadeh Mehdizade, Hossein Pourkarimi, Nazanin Fallahi, Abbas Shoja, Zahra Behrouz Manesh, Mohammad Tanabandeh, Samed Ramezani, Nahid Ghahremani	A woman Rezvan is being murdered. Her sister Razieh takes her family and relatives in a bus from Gorgan to Mashhad to witness against the husband of Rezvan that he is the murderer. But in ...	6.3	492					4.0	35.0
tt9817070	Metri Shesh Va Nim	Metri Shesh Va Nim	2019	2019-03-17	Action, Crime, Drama	131	Iran	Persian	Saeed Roustayi	Saeed Roustayi	Boshra Film	Payman Maadi, Navid Mohammadzadeh, Parinaz Izadyar, Farhad Aslani, Houman Kiai, Maziar Seyedi, Ali Bagheri, Marjan Ghamari, Yusef Khosravi, Mehdi Hoseini-nia, Gity Ghasemi, Asghar Piran, Mohammad Ali Mohammadi, Peyman Ghasemzadeh, Javad Pourheidari	The police are after a drug lord named Naser Khakzad, but when they finally manage to catch him, he tries whatever he can think of to escape and save his family.	7.9	5658					20.0	52.0
tt9817300	15 August	15 August	2019	2019-03-29	Drama	124	India		Swapnaneel Jaykar	Yogesh Vinayak Joshi	RnM Motion Pictures	Abhishek Deshmukh, Mrinmayee Deshpande, Namrata Kadam, Addinath Kothare, Vaibhav Mangale, Rahul Pethe	On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.	5.8	199					6.0	4.0
tt9817760	Jai Mummy Di	Jai Mummy Di	2020	2020-01-17	Comedy, Drama, Romance	103	India	Hindi	Navjot Gulati	Navjot Gulati	Luv Films	Poonam Dhillon, Supriya Pathak, Sunny Singh Nijjar, Sonnalli Seygall, Alok Nath, Rajendra Sethi, Veer Rajwant Singh, Danish Husain, Shiwani Saini, Sanndeep D. Bose, Sukhwinder Chahal, Samarth Shandilya, Bhuvan Arora, Babla Kochar, Madhu Sachdeva	Jai Mummy Di is a light-hearted family comedy that portrays the trials and tribulations a couple has to undergo due to the dynamics between their respective mothers.	3.6	661			$ 413764		37.0	7.0
tt9818102	Yowis Ben 2	Yowis Ben 2	2019	2019-03-14	Comedy, Drama	109	Indonesia	Indonesian	Fajar Nugros, Bayu Skak	Bagus Bramanti	StarVision Plus	Bayu Skak, Joshua Suherman, Brandon Salim, Tutus Thomson, Anya Geraldine, Anggika Bolsterli, Devina Aureel, Laura Theux, Timo Scheunemann, Arief Didu, Tri Yudiman, Cut Meyriska, Glenca Chysara, Aliyah Faizah, Clairine Clay	The popularity of Yowis Ben in Malang doesn't resolve Bayu's financial problems. The other members also have their own problems. Then they are introduced to Cak Jim who claims can raise them become a national artist.	7.2	197					2.0	4.0
tt9820352	Villain	Villain	2020	2020-02-28	Action, Crime, Drama	97	UK	English	Philip Barantini	Greg Hall, George Russo	Ascendant Films	Craig Fairbrass, Robert Glenister, George Russo, Mark Monero, Izuka Hoyle, Taz Skylar, Tomi May, Nicholas Aaron, Lauryn Ajufo, Eloise Lovell Anderson, Jade Asha, Selom Awadzi, Cassie Bancroft, Jamie Crew, Sergio Dondi	Eddie Franks is a former criminal who attempts to help his family by reconnecting with his daughter and clearing his brother's debt. Despite his efforts, he is drawn back into a criminal way of life, with devastating consequences.	5.7	649				68.0	40.0	37.0
tt9820594	Misteri Dilaila	Misteri Dilaila	2019	2019-02-21	Horror, Thriller	82	Malaysia	Malay, English	Syafiq Yusof	Syafiq Yusof	Skop Productions Sdn. Bhd.	Zul Ariffin, Elizabeth Tan, Rosyam Nor, Sasqia Dahuri, Namron, Mas Khan, Iz Sulaini, Kenji Sawahii, Nafiez Zaidi	Jefri's wife, Dilaila, goes missing on their vacation and when she is found, he discovers the woman is not her even though she insists that she is.	5.4	145					4.0	8.0
tt9822706	Wet Season	Wet Season	2019	2019-11-28	Drama	103	Singapore, Taiwan	English, Mandarin, Hokkien	Anthony Chen	Anthony Chen	Giraffe Pictures	Jia Ler Koh, Christopher Ming-Shun Lee, Shi Bin Yang, Yann Yann Yeo	A teacher and student at a Singapore high school form a special, self-affirming bond.	6.8	498					7.0	17.0
tt9823170	Czarny Mercedes	Czarny Mercedes	2019	2019-10-04	Crime, War	110	Poland	Polish, German	Janusz Majewski	Wlodzimierz Kowalewski, Janusz Majewski	Polski Instytut Sztuki Filmowej	Maria Debska, Aleksandar Milicevic, Artur Zmijewski, Andrzej Zielinski, Lukasz Sikora, Sonia Bohosiewicz, Andrzej Mastalerz, Izabela Dabrowska, Andrzej Baranowski, Przemyslaw Bluszcz, Andrzej Seweryn, Natalia Rybicka, Marcel Sabat, Boguslaw Linda, Maciej Winkler	The story of the investigation to unravel the mysterious death of a beautiful young woman in Nazi-occupied Warsaw. She is not Krystyna Holzer, as stated in her kennkarte (German-issued ...	5.2	165			$ 90549			
tt9825006	Avant qu'on explose	Avant qu'on explose	2019	2019-02-28	Comedy	108	Canada	French	Rémi St-Michel	Eric K. Boulianne	Christal Films	Étienne Galloy, Amadou Madani Tall, William Monette, Julianne Côté, Monia Chokri, Brigitte Poupart, Antoine Olivier Pilon, Rose-Marie Perreault, Denis Harvey, Jessica Iacobaccio, Elizabeth Tremblay-Gagnon, Laurie Babin, William Cantin, K.C. Coombs, Rodley Pitt	The Third World War is on the horizon. Despite attempts at nuclear deterrence, the threat of atomic bombings between North Korea and the United States is bringing the world's population ...	6.6	100	CAD 3850000	$ 119894	$ 119894			2.0
tt9827784	Sayonara kuchibiru	Sayonara kuchibiru	2019	2019-05-31	Drama, Music, Romance	116	Japan	Japanese	Akihiko Shiota	Akihiko Shiota	Culture Entertainment Co.	Mugi Kadowaki, Nana Komatsu, Ryô Narita, Takaya Aoyagi, Marika Matsumoto, Yûya Matsuura, Masaki Naito, Yukiko Shinohara, Akinobu Shinoyama, Yuzumi Shintani, Makita Sports, Marika Yamakawa	Haru and Reo perform as musical duo Haru-Reo. With their indie music, they suddenly get popular. Even with their newfound success, they decide to disband the duo. Haru-Reo go on one last ...	6.9	241					1.0	2.0
tt9828918	#IoSonoQui	#jesuislà	2019	2020-02-05	Comedy	97	France, Belgium	French	Eric Lartigau	Thomas Bidegain, Thomas Bidegain	Rectangle Productions	Alain Chabat, Doona Bae, Blanche Gardin, Ilian Bergala, Jules Sagot, Camille Rutherford, Delphine Gleize, Lazare Lartigau, Vincent Nemeth, Nathalie Lacroix, Lisa Maumy, Nicolas Santos, Guillaume Etchegorry, Christian Duplaissy, Eric Lartigau	Stéphane lives a quiet life as an eminent French Chef but when he decides to visit Soo, a mysterious Korean lady he fell in love with on Instagram, he'll embark on an adventurous journey full of discoveries.	6.0	415			$ 1446784		3.0	10.0
tt9831136	The Banana Splits Movie	The Banana Splits Movie	2019	2019-08-13	Comedy, Horror, Sci-Fi	89	USA, South Africa, Canada	English	Danishka Esterhazy	Jed Elinoff, Scott Thomas	Blue Ice Pictures	Dani Kind, Steve Lund, Celina Martin, Finlay Wojtak-Hissong, Sara Canning, Romeo Carere, Maria Nash, Naledi Majola, Richard White, Kiroshan Naidoo, Keeno Lee Hector, Lia Sachs, Lionel Newton, Daniel Fox, Vash Singh	A family attends a live taping of The Banana Splits television series, but are forced to survive as soon as the characters go haywire and start a killing spree around the studio.	5.0	2373					124.0	59.0
tt9834062	Ahaa Re	Ahaa Re	2019	2019-02-22	Drama	150	India	Bengali	Ranjan Ghosh	Ranjan Ghosh	Bhavna Aaj-O-Kal	Arifin Shuvo, Rituparna Sengupta, Amrita Chattopadhyay, Paran Banerjee, Dipankar Dey, Shakuntala Barua, Anuvab Pal, Shubhro Sankha Das, Alamgir, Rabiranjan Maitra	Two completely different persons from two different countries and religion but one thing bond them together, that's their love for cooking.	7.3	189					5.0	21.0
tt9834492	Yalda	Yalda	2019	2020-08-27	Drama	89	Iran, France, Germany, Switzerland, Luxembourg, Lebanon	Persian	Massoud Bakhshi	Massoud Bakhshi	JBA Production	Sadaf Asgari, Behnaz Jafari, Babak Karimi, Fereshteh Sadre Orafaiy, Forough Ghajabagli, Arman Darvish, Fereshteh Hosseini, Zakieh Behbahani, Ramona Shah, Faghiheh Soltani	Maryam is a young woman who is accused of murdering her husband and is sentenced to death. In the Yalda night they bring her to a live TV show so that Mona who is the only daughter of the ...	6.1	111					1.0	20.0
tt9838372	Fei fen shu nü	Fei fen shu nü	2019	2019-04-04	Drama	108	Hong Kong		Tsui Shan Tsang	Anna Yuet Shan Lai, Link Sng	Emperor Film Production	Charlene Choi, Kang Ren Wu, Tony Liu, Cecilia Yip, Deep Ng, Alex Tak-Shun Lam, Hedwig Tam, Ashina Kwok, Tai-Bo, Chi-Shing Au, Chuen-Wah Chan, Daniel Yee Heng Chan, Po-Yan Chan, Tsz-Fung Chan, Wing-Yin Chan	Siu Man is a nurse who has lost who she is as a person. Her marriage has ended partly due to her fear of intimacy and, having been abandoned by her husband, she now faces losing her father ...	5.0	184			$ 459289		3.0	3.0
tt9839040	Murphy's Law: Ghanoone Morfi	Murphy's Law: Ghanoone Morfi	2019	2019-01-02	Action, Comedy, Fantasy	98	Iran	Persian	Rambod Javan	Mohammad Ali Hoseini, Pooria Shojaei		Amir Jadidi, Amir Jafari, Rambod Javan, Danial Ghaffarzadeh, Mahsa Tahmasebi, Sorush Sehhat, Arsha Aghdasi, Sirus Gorjestani, Hadi Kazemi, Behzad Ghadyanloo, Anahita Dargahi, Mohammad Shiri, Neda Aghighi, Nahid Moslemi	Bahman's daughter is kidnapped. Farokh recently fired as a police man is going to help him find his daughter and.	3.5	431	IRR 35000000000				5.0	24.0
tt9840382	Se mi vuoi bene	Se mi vuoi bene	2019	2019-10-17	Comedy	100	Italy	Italian	Fausto Brizzi	Fausto Brizzi, Martino Coli	Eliseo Cinema	Claudio Bisio, Sergio Rubini, Dino Abbrescia, Lorena Cacciatore, Valeria Fabrizi, Flavio Insinna, Susy Laude, Maria Amelia Monti, Lucia Ocone, Cochi Ponzoni, Memo Remigi, Elena Santarelli, Gianmarco Tognazzi, Angelica Barbareschi, Alberto Barbi	A man with a knack for accidentally setting off catastrophes decides to help out the people around him and proceeds to cause them even more trouble.	5.5	101			$ 976473			6.0
tt9840958	Love Struck Sick	Love Struck Sick	2019	2019-08-08	Romance	92	USA	English	Don Tjernagel	Matt Lee Ingebritson, Don Tjernagel		Jordan Abbe, Jim Averill, Mikey Averill, Josh Bash, Donna Baumgartner, Thomas Benedict, Clint Boevers, Joe Brown, J.P. Bunn, Kelsea Clements, Brianna Cool, Robyn Cusmano, Caleb DeGraw, Al Eacret, Kyla Faith	This movie is all about one of the greatest YouTubers of all time, AlienAmerican. He is legendary, a man of his time, yet so far beyond it as well.	7.2	249	$ 7000					
tt9843470	La isla de las mentiras	La isla de las mentiras	2020	2020-05-14	Drama	93	Spain, Portugal, Argentina	Spanish	Paula Cons	Paula Cons, Luis Marías	Agallas Films	Nerea Barros, Darío Grandinetti, Aitor Luna, Victoria Teijeiro, Ana Oca, Milo Taboada, Leyre Berrocal, Miguel Borines, Celso Bugallo, Mela Casal, María Costas, Roberto Leal, Sergio Quintana, Machi Salgado, Ana Santos	In the early morning of January 2, 1921, amid a thick fog, the steam Santa Isabel, with 260 emigrants bound for Buenos Aires, sank off the rugged and rugged coast of the island of Sálvora.	5.7	112						7.0
tt9844256	Code Geass: Lelouch of the Rebellion Episode III	Code Geass: Lelouch of the Rebellion Episode III	2018	2018-05-26	Animation, Action, Sci-Fi	120	Japan	Japanese	Gorô Taniguchi	Gorô Taniguchi, Ichirô Ôkouchi		Jun Fukuyama, Takahiro Sakurai, Yukana Nogami, Ami Koshimizu, Norihiro Inoue, Kaori Nazuka, Takahiro Mizushima, Ken Narita, Jôji Nakata, Saeko Chiba, Yûko Gotô, Sôichirô Hoshi, Atsushi Kisaichi, Hikaru Midorikawa, Masayo Kurata	A remake of the last 9 episodes in Code Geass R2, which is a prequel to Lelouch of the Resurrection.	7.7	184						1.0
tt9844358	Satsujinki o kau onna	Satsujinki o kau onna	2019	2019-04-12	Horror	82	Japan	Japanese	Hideo Nakata	Kaori Yoshida, Kei Ôishi	Happinet.	Rin Asuka, Shin'ya Hamada, Airi Matsuyama, Kenji Mizuhashi, Hitomi Nakatani, Toshie Negishi, Mutsuo Yoshioka, Shôka Ôshima	When Kyoko was a child her stepfather loved her sexually. She took refuge in the world of fantasy and multiple personalities. Kyoko has three flat-mates now one of whom is a lesbian who is ...	5.2	101						
tt9844368	Out of Liberty	Out of Liberty	2019	2019-09-13	Drama, Western	111	USA	English	Garrett Batty	Stephen Dethloff, Garrett Batty	Three Coin Productions	Cate Allen, Corbin Allred, Larry Bagby, Casey Elliott, Travis Farris, Morgan Gunter, Jerome Brad Halgren, Danny James, Adam Johnson, Cherie Julander, Brandon Ray Olive, Elizabeth Parson, Brock Roberts, Shawn Stevens, Jake Ulasich	Winter 1839. LIBERTY, MISSOURI. Local jailer, Samuel Tillery (Jasen Wade) is tasked with watching Missouri's most wanted men as they await their upcoming hearing. Caught between the local ...	4.5	272		$ 265279	$ 265279		16.0	4.0
